Chinese	Canonical English	Context
物料安全数据表	Safety Data Sheet	Title
产品名称	Product name	Section 1
中文名称	Product name / trade name	Section 1 template field; render English product description
化学品分类	Chemical classification	Section 1
产品使用建议和使用限制	Recommended use and restrictions on use	Section 1
供应商信息	Supplier information	Section 1
供应商名称	Supplier name	Section 1
供应商地址	Address	Section 1
电话	Telephone	Section 1
传真	Fax	Section 1
危险性概述	Hazard(s) identification	Section 2
GHS危险性类别	GHS classification	Section 2
GHS标签要素	GHS label elements	Section 2
GHS象形图	Pictogram(s)	Section 2
信号词	Signal word	Section 2
危险性说明	Hazard statement(s)	Section 2
防范说明	Precautionary statement(s)	Section 2
物理和化学危险	Physical and chemical hazards	Section 2
健康危害	Health hazards	Section 2
环境危害	Environmental hazards	Section 2
其他危害	Other hazards	Section 2
成分/组成资料	Composition/information on ingredients	Section 3
产品类型	Product type	Section 3
混合物	Mixture	Section 3
化学品名称	Chemical name	Section 3
CAS编号	CAS No.	Section 3
急救措施	First-aid measures	Section 4
消防措施	Fire-fighting measures	Section 5
意外泄漏措施	Accidental release measures	Section 6
操作和储存	Handling and storage	Section 7
接触控制/个人防护	Exposure controls/personal protection	Section 8
控制参数	Control parameters	Section 8
暴露控制	Exposure controls	Section 8
呼吸系统防护	Respiratory protection	Section 8
手部防护	Hand protection	Section 8
眼睛防护	Eye/face protection	Section 8
身体防护	Skin and body protection	Section 8
穿透时间	Breakthrough time	Section 8
厚度	Thickness	Section 8
物理和化学特性	Physical and chemical properties	Section 9
外观	Appearance	Section 9
嗅觉阀值	Odour threshold	Section 9
初沸点	Initial boiling point	Section 9
闪点	Flash point	Section 9
蒸发速率	Evaporation rate	Section 9
相对蒸气密度	Relative vapour density	Section 9
相对密度	Relative density	Section 9
水溶性	Solubility in water	Section 9
表面张力	Surface tension	Section 9
自燃温度	Auto-ignition temperature	Section 9
引燃温度	Ignition temperature	Section 9
动力粘度	Dynamic viscosity	Section 9
固体含量	Solids content	Section 9
稳定性和反应性	Stability and reactivity	Section 10
化学稳定性	Chemical stability	Section 10
危险分解产物	Hazardous decomposition products	Section 10
可能的危害反应	Possibility of hazardous reactions	Section 10
毒性资料	Toxicological information	Section 11
急性毒性，经口	Acute toxicity - oral	Section 11
急性毒性，经皮	Acute toxicity - dermal	Section 11
急性毒性，吸入	Acute toxicity - inhalation	Section 11
原发性皮肤刺激	Skin corrosion/irritation	Section 11
原发性粘膜刺激	Serious eye damage/eye irritation	Section 11
致敏性	Respiratory or skin sensitisation	Section 11
体外遗传毒性	In vitro genotoxicity	Section 11
体内基因毒性	In vivo genotoxicity	Section 11
致癌性	Carcinogenicity	Section 11
生殖毒性	Reproductive toxicity	Section 11
物种	Species	Section 11
试验环境	Test atmosphere	Section 11
测试种类	Test type	Section 11
代谢活化	Metabolic activation	Section 11
结果	Result	Section 11
评估	Assessment	Section 11
分类	Classification	Section 11
方法	Method	Section 11
对类似产品的研究	Study on a similar product	Section 11
对类似产品研究	Study on a similar product	Section 11
生态信息	Ecological information	Section 12
生态毒性	Ecotoxicity	Section 12
持久性和降解性	Persistence and degradability	Section 12
生物降解性	Biodegradability	Section 12
处理注意事项	Disposal considerations	Section 13
运输信息	Transport information	Section 14
公路和铁路运输	Road and rail transport	Section 14
海上运输	Sea transport	Section 14
空运	Air transport	Section 14
用户特殊注意事项	Special precautions for user	Section 14
法规信息	Regulatory information	Section 15
其他信息	Other information	Section 16
根据GHS不属于危害化学品	Not classified as hazardous according to GHS criteria.	Professional phrase
基于现有数据，未满足分类标准。	Based on available data, the classification criteria are not met.	Professional phrase
非危险货物	Not regulated as dangerous goods.	Transport
不适用	Not applicable	Substantive applicability only
